,brain,group1,muscle,epithelial,digestive
0,0,1,0,1,1
1,0,1,0,0,0
2,1,0,1,0,0
3,1,1,0,0,0
4,0,0,0,0,1
5,1,0,0,0,1
6,1,0,1,0,1
7,0,1,0,0,1
8,0,1,1,0,0
9,1,1,1,1,0
10,1,0,0,1,0
11,0,0,1,0,1
12,1,0,0,0,0
13,1,1,1,1,0
14,1,1,1,0,1
15,1,1,1,0,0
16,1,1,0,0,0
17,0,0,0,0,1
18,0,1,1,1,0
19,1,1,0,0,0
20,0,0,0,0,0
21,0,0,1,1,0
22,1,0,0,0,0
23,1,1,0,0,1
24,0,1,1,1,0
25,1,0,0,0,0
26,1,0,1,0,1
27,1,1,0,1,1
28,0,1,1,1,1
29,0,1,0,1,1
30,1,1,1,0,0
31,0,1,1,1,1
32,1,0,0,0,0
33,1,0,0,1,1
34,0,0,1,1,1
35,1,1,1,1,0
36,0,0,1,0,0
37,1,1,1,1,1
38,1,1,0,0,0
39,1,0,1,0,1
40,1,1,0,1,0
41,0,1,1,0,1
42,0,1,1,1,0
43,0,1,0,0,0
44,0,0,1,1,0
45,0,1,0,0,0
46,0,1,1,1,0
47,1,0,1,1,0
48,1,0,0,1,1
49,1,0,0,0,1
50,1,1,1,0,1
51,0,1,0,0,1
52,1,0,1,1,1
53,1,1,1,0,0
54,0,1,1,0,1
55,0,0,0,0,0
56,1,0,1,0,0
57,1,0,1,0,1
58,0,1,0,1,1
59,1,1,0,0,0
60,1,0,1,0,0
61,0,1,1,1,0
62,1,1,0,0,0
63,1,1,1,0,1
64,1,1,0,0,0
65,0,0,1,1,1
66,1,1,0,0,1
67,0,0,1,0,0
68,1,1,1,1,0
69,0,1,0,0,0
70,0,0,0,1,1
71,0,0,1,0,0
72,0,1,1,0,0
73,1,0,1,1,0
74,0,0,0,0,0
75,1,1,1,0,0
76,1,0,1,0,1
77,0,0,1,1,1
78,1,0,0,1,1
79,0,1,1,0,1
80,1,1,1,0,0
81,1,0,1,1,1
82,1,0,1,0,1
83,0,0,0,1,1
84,0,1,0,0,0
85,0,0,1,0,1
86,1,1,1,0,0
87,1,1,1,1,0
88,0,0,0,1,0
89,0,0,0,1,0
90,0,0,0,0,0
91,0,0,1,1,0
92,1,0,1,0,1
93,0,1,1,1,0
94,0,0,0,1,0
95,0,1,1,0,1
96,0,0,0,0,1
97,0,0,1,0,1
98,1,0,1,0,0
99,1,1,1,0,0
100,1,0,0,0,1
101,0,1,1,1,1
102,0,0,0,0,1
103,1,0,1,1,0
104,1,1,1,0,1
105,0,1,0,0,1
106,1,0,0,0,1
107,1,1,0,0,1
108,1,1,1,0,1
109,0,1,1,0,1
110,1,0,0,1,0
111,0,0,1,0,1
112,1,1,1,1,0
113,0,1,0,1,1
114,1,0,0,1,0
115,1,0,1,0,0
116,1,1,0,1,0
117,1,0,1,1,0
118,1,0,0,0,0
119,0,1,0,1,1
120,0,1,1,1,0
121,0,1,0,1,1
122,1,0,1,0,1
123,1,1,0,0,1
124,0,1,0,0,0
125,0,0,0,0,0
126,0,0,0,1,0
127,0,1,1,1,0
128,0,0,0,0,0
129,0,1,1,0,0
130,1,1,0,0,0
131,1,1,0,1,1
132,0,1,1,0,0
133,1,0,1,0,1
134,1,0,0,1,1
135,1,1,1,0,0
136,0,1,1,0,0
137,1,1,1,0,0
138,0,0,1,0,0
139,1,0,1,0,1
140,0,0,1,1,0
141,0,1,0,1,0
142,1,1,1,0,0
143,1,1,0,0,1
144,0,1,1,1,1
145,0,0,1,0,0
146,1,1,1,1,0
147,1,0,1,0,1
148,0,1,1,0,0
149,0,1,1,1,1
150,1,1,0,1,1
151,1,0,0,0,0
152,1,1,0,1,0
153,0,1,1,0,1
154,0,0,0,0,1
155,0,1,0,0,1
156,1,1,1,1,1
157,1,0,1,0,1
158,0,0,0,1,0
159,0,0,0,0,1
160,1,0,1,0,1
161,0,0,1,0,0
162,0,1,1,0,1
163,0,1,0,1,0
164,0,1,1,0,1
165,0,0,1,0,1
166,0,1,1,1,0
167,0,1,0,0,1
168,0,0,1,1,0
169,0,0,1,0,0
170,0,1,0,1,0
171,1,0,0,0,1
172,0,0,0,1,1
173,1,0,0,0,1
174,1,1,0,1,1
175,1,0,0,1,1
176,0,1,0,1,0
177,1,0,1,0,0
178,1,0,0,1,0
179,1,1,0,0,1
180,1,0,1,1,0
181,0,0,1,0,1
182,1,1,1,0,1
183,0,1,0,0,0
184,1,1,0,0,0
185,0,1,0,1,1
186,1,1,0,1,0
187,1,0,0,0,0
188,0,1,0,1,1
189,1,1,0,0,1
190,1,0,1,1,1
191,0,0,0,0,1
192,0,1,1,1,0
193,1,0,1,1,0
194,0,0,1,1,0
195,0,0,1,0,1
196,0,0,0,0,0
197,1,1,1,0,1
198,1,0,1,0,1
199,0,1,1,0,1
200,0,0,1,1,0
201,1,0,0,1,1
202,0,1,1,0,0
203,1,0,1,1,1
204,0,0,0,0,0
205,0,0,0,0,0
206,0,0,1,0,0
207,0,1,1,0,0
208,1,0,1,1,1
209,0,1,1,0,0
210,1,0,0,0,0
211,0,0,0,0,1
212,1,1,1,1,0
213,0,1,0,1,0
214,1,1,0,1,1
215,1,0,0,0,0
216,0,0,1,0,0
217,0,0,1,1,0
218,1,1,1,0,1
219,1,1,1,0,0
220,1,0,0,0,1
221,1,1,0,0,0
222,0,0,0,0,1
223,0,1,0,0,0
224,0,0,0,0,0
225,0,1,1,0,1
226,1,0,1,0,1
227,1,1,0,1,0
228,1,1,1,1,1
229,1,0,0,1,0
230,1,1,1,0,1
231,1,0,0,0,0
232,0,0,0,0,0
233,1,1,0,0,0
234,1,0,1,0,0
235,1,1,0,0,0
236,0,0,0,1,0
237,0,0,1,0,0
238,0,0,1,1,1
239,0,0,1,0,0
240,0,1,0,1,1
241,1,1,1,0,1
242,0,1,1,1,0
243,1,0,1,0,0
244,0,1,1,1,0
245,1,0,0,1,0
246,1,1,0,0,0
247,1,0,0,1,1
248,0,0,0,0,1
249,1,0,1,1,0
250,1,0,0,0,1
251,0,1,1,0,1
252,1,0,1,1,0
253,0,1,0,0,1
254,0,0,1,1,0
255,0,1,0,0,0
256,1,1,1,0,1
257,0,0,1,1,0
258,0,1,1,0,1
259,0,0,0,0,1
260,0,1,1,0,1
261,0,0,0,0,0
262,1,0,1,0,0
263,1,1,1,0,0
264,0,1,1,0,1
265,0,0,1,0,0
266,0,0,1,0,1
267,0,1,1,1,0
268,0,1,1,0,0
269,0,0,1,0,1
270,1,0,0,0,1
271,1,1,1,0,1
272,0,0,1,0,1
273,1,1,0,0,1
274,1,1,0,0,0
275,1,0,1,0,1
276,1,1,0,0,0
277,0,1,0,0,1
278,0,0,0,1,1
279,0,0,1,0,0
280,1,1,1,0,0
281,0,1,0,0,0
282,1,0,0,0,0
283,0,0,1,1,0
284,1,0,0,0,0
285,0,1,0,1,0
286,0,1,1,0,0
287,1,0,1,1,0
288,0,0,0,0,1
289,1,1,1,0,1
290,1,0,1,1,1
291,1,1,1,0,0
292,0,1,1,0,1
293,1,1,0,0,0
294,1,1,0,1,1
295,0,0,0,1,1
296,0,0,0,1,1
297,0,1,1,0,1
298,1,1,0,0,0
299,1,1,0,0,0
300,1,1,1,1,0
301,0,0,0,1,1
302,0,0,1,0,1
303,1,0,1,1,1
304,1,0,0,0,0
305,0,0,1,0,0
306,0,0,0,0,1
307,0,1,0,0,1
308,0,0,0,0,1
309,1,0,0,0,1
310,1,1,1,1,0
311,0,0,1,1,1
312,1,1,1,0,1
313,0,1,1,0,1
314,1,0,0,1,0
315,0,1,0,0,1
