,brain,group1,muscle,epithelial,digestive
0,0,1,0,1,1
1,0,1,1,0,1
2,1,0,1,0,0
3,0,0,0,0,0
4,0,0,0,0,1
5,1,0,0,0,1
6,1,0,1,0,1
7,1,1,0,0,1
8,0,0,1,0,0
9,1,1,0,0,0
10,1,0,1,0,0
11,1,0,0,0,0
12,1,0,0,0,0
13,1,0,1,0,0
14,1,1,1,0,0
15,1,1,1,1,0
16,0,0,0,0,0
17,0,1,0,0,1
18,0,1,1,0,0
19,1,1,0,0,0
20,0,1,0,1,1
21,0,0,0,0,0
22,1,0,0,0,0
23,1,0,0,0,0
24,0,0,0,0,1
25,0,0,0,0,0
26,1,0,1,0,0
27,0,0,0,0,1
28,0,1,1,0,1
29,0,1,0,0,1
30,1,0,1,0,0
31,0,1,1,0,1
32,0,1,0,0,0
33,0,1,0,0,1
34,0,1,0,0,1
35,1,0,1,0,0
36,0,0,1,0,0
37,1,1,1,1,0
38,1,0,0,1,0
39,1,0,1,0,0
40,0,1,0,1,0
41,0,0,1,0,1
42,0,1,1,0,1
43,0,1,1,0,0
44,1,0,1,0,0
45,0,1,0,0,0
46,0,0,1,0,0
47,1,0,1,0,0
48,1,1,1,0,0
49,0,0,0,0,1
50,1,0,0,0,0
51,0,1,0,0,0
52,0,1,1,0,1
53,1,1,0,0,1
54,1,1,1,0,0
55,0,1,0,0,1
56,1,0,1,0,0
57,1,0,1,0,0
58,1,1,0,0,0
59,0,1,0,1,0
60,0,0,1,0,0
61,0,0,1,0,1
62,1,0,0,0,0
63,0,1,1,0,1
64,0,1,0,0,0
65,1,0,1,0,1
66,1,0,0,0,1
67,1,0,1,0,1
68,1,1,1,0,1
69,1,1,0,0,0
70,0,1,0,0,1
71,0,1,1,0,1
72,0,1,1,0,0
73,1,0,1,0,0
74,0,0,0,0,1
75,1,1,0,0,0
76,0,0,0,0,1
77,0,1,1,0,1
78,0,0,0,0,0
79,0,1,1,0,1
80,0,0,1,0,0
81,0,0,1,0,1
82,0,0,1,0,1
83,0,0,0,0,1
84,0,1,1,0,0
85,0,0,1,0,1
86,1,1,1,0,0
87,1,1,1,0,0
88,0,1,1,0,0
89,1,0,0,0,0
90,1,1,1,1,1
91,0,0,1,0,1
92,1,0,1,0,1
93,0,1,1,0,1
94,0,1,0,0,0
95,1,1,0,0,0
96,0,1,0,0,0
97,1,0,1,0,0
98,1,0,0,0,0
99,0,0,1,0,1
100,1,0,0,0,1
101,0,1,1,0,0
102,0,0,1,1,0
103,1,0,0,0,0
104,1,1,0,1,1
105,0,1,0,0,1
106,1,1,1,0,1
107,0,0,0,0,1
108,1,0,1,0,1
109,0,0,1,0,0
110,1,0,0,0,0
111,0,1,1,0,1
112,1,1,1,0,1
113,0,0,0,0,1
114,1,0,1,0,1
115,1,0,1,1,0
116,0,1,0,1,0
117,1,0,1,0,0
118,1,1,0,0,0
119,0,1,1,0,0
120,0,1,1,0,0
121,0,1,0,0,1
122,1,1,1,0,1
123,0,1,0,0,0
124,1,1,0,0,1
125,0,0,1,0,0
126,1,0,1,0,0
127,0,1,1,0,0
128,1,1,0,0,0
129,0,0,1,0,0
130,1,0,0,0,0
131,1,1,0,0,1
132,0,0,1,0,0
133,1,0,1,0,0
134,1,0,1,1,1
135,1,1,1,0,0
136,0,0,0,0,0
137,1,0,0,0,0
138,1,0,1,0,1
139,1,0,1,0,1
140,0,0,1,1,0
141,0,1,0,0,0
142,1,0,1,0,1
143,1,1,0,0,1
144,1,0,1,0,1
145,0,0,1,0,0
146,0,1,1,1,0
147,1,1,0,0,0
148,0,1,1,0,0
149,0,1,0,0,1
150,1,1,1,0,0
151,0,0,0,0,1
152,1,1,0,0,0
153,0,0,1,0,1
154,1,0,1,0,0
155,0,1,0,0,1
156,0,0,1,0,0
157,0,1,1,0,0
158,0,1,0,0,0
159,1,0,1,0,1
160,0,0,1,0,1
161,0,1,0,0,0
162,0,1,1,0,1
163,0,0,0,1,0
164,0,0,1,0,1
165,0,0,0,0,1
166,0,0,1,0,0
167,0,1,0,0,1
168,0,0,1,0,0
169,0,1,1,0,0
170,0,0,0,1,0
171,1,0,1,0,0
172,0,1,0,0,0
173,1,0,0,0,0
174,0,0,0,1,1
175,0,1,0,1,0
176,0,1,1,0,1
177,1,0,1,0,0
178,1,0,0,1,0
179,1,1,1,0,1
180,0,0,1,0,0
181,0,0,0,0,0
182,0,1,1,0,1
183,0,1,0,0,1
184,1,1,0,0,0
185,0,0,0,1,1
186,1,1,0,0,0
187,0,1,0,0,1
188,0,0,1,0,1
