,brain,group1,muscle,epithelial,digestive
0,1,1,1,0,1
1,1,0,0,0,1
2,1,0,1,0,1
3,0,0,1,1,0
4,0,1,0,0,0
5,1,0,0,1,1
6,0,0,0,0,1
7,1,0,1,1,1
8,1,1,0,0,1
9,1,0,0,0,1
10,0,1,0,1,0
11,0,0,0,0,1
12,0,0,0,0,0
13,1,0,0,1,1
14,1,0,0,0,0
15,1,0,1,0,1
16,0,0,0,1,0
17,0,0,1,1,1
18,1,0,1,1,0
19,1,1,0,1,0
20,0,0,1,0,0
21,1,0,1,0,0
22,0,1,0,1,0
23,1,0,0,1,1
24,0,0,0,0,0
25,1,0,0,0,1
26,1,1,0,0,0
27,1,0,0,1,0
28,0,0,0,1,1
29,1,0,0,1,0
30,1,0,0,1,0
31,1,1,0,1,1
32,0,0,1,1,1
33,0,0,0,1,0
34,0,0,0,0,1
35,1,0,0,0,0
36,1,0,0,0,0
37,0,0,1,0,0
38,1,1,0,1,1
39,1,1,1,1,1
40,1,0,0,0,1
41,0,0,0,0,0
42,1,0,1,1,1
43,1,1,0,1,0
44,0,0,1,0,0
45,1,0,0,0,0
46,1,0,0,0,1
47,0,0,1,1,1
48,0,0,0,1,0
49,1,0,0,1,0
50,0,0,0,0,1
51,0,1,1,0,0
52,1,0,1,0,1
53,0,1,1,0,0
54,0,0,0,1,1
55,1,0,1,0,0
56,0,1,1,1,1
57,1,0,0,0,1
58,0,0,1,1,1
59,1,0,1,0,1
60,0,1,1,0,0
61,0,0,1,0,0
62,0,1,1,1,1
63,0,1,0,1,0
64,1,0,1,1,1
65,0,0,0,1,0
66,1,0,0,1,1
67,0,0,1,0,0
68,0,0,0,0,0
69,1,0,1,1,0
70,0,1,1,0,0
71,1,0,0,0,1
72,0,0,1,0,0
73,1,0,1,0,1
74,0,0,0,0,0
75,0,1,0,0,1
76,0,0,1,0,0
77,0,0,1,0,1
78,1,0,0,0,0
79,1,0,0,1,0
80,1,0,0,0,1
81,1,0,1,0,1
82,1,0,0,0,1
83,1,1,1,0,1
84,0,0,1,0,1
85,0,1,1,1,0
86,0,1,1,1,0
87,0,1,0,1,0
88,0,1,1,1,1
89,0,0,0,0,0
90,1,0,0,0,0
91,1,0,0,0,0
92,0,0,1,0,1
93,1,0,0,1,1
94,0,0,1,1,0
95,1,0,1,0,0
96,1,0,0,1,0
97,1,0,0,0,0
98,0,0,0,1,1
99,0,0,1,0,1
100,1,0,0,1,0
101,1,0,1,0,1
102,0,0,0,0,0
103,0,1,0,0,0
104,0,0,0,0,1
105,0,0,0,0,0
106,0,0,1,1,1
107,0,0,0,1,0
108,1,0,0,0,0
109,0,0,0,0,1
110,1,0,1,1,0
111,0,0,0,1,1
112,0,0,0,0,0
113,0,0,0,0,0
114,1,0,1,1,1
115,1,0,0,0,0
116,0,0,1,1,1
117,0,1,1,0,0
118,0,1,0,0,1
119,0,0,0,0,0
120,1,0,0,0,0
121,1,1,1,0,1
122,0,1,1,0,1
123,0,0,1,0,1
124,0,0,1,1,1
125,1,0,1,0,1
126,1,0,0,0,1
127,1,1,0,1,0
128,0,0,0,1,0
129,0,0,0,0,1
130,1,0,1,0,0
131,1,0,0,0,0
132,0,0,1,0,1
133,0,0,1,1,1
134,1,0,0,0,0
135,0,0,0,0,0
136,1,0,1,0,0
137,0,0,1,0,0
138,0,0,0,0,0
139,1,0,1,0,0
140,1,0,1,0,0
141,0,0,1,0,0
142,0,0,1,0,0
143,0,0,1,1,1
144,1,1,0,1,0
145,0,0,0,1,0
146,0,1,0,0,1
147,1,0,0,0,0
148,1,0,1,0,1
149,1,0,1,0,0
150,1,0,0,0,0
151,1,0,1,0,0
152,1,0,0,0,0
153,1,0,0,0,1
154,1,0,1,0,1
155,1,0,1,0,0
156,0,0,0,0,1
157,1,0,1,0,1
158,1,0,0,1,0
159,0,0,0,0,1
160,0,0,1,0,1
161,0,1,0,0,0
162,1,1,0,1,0
163,0,0,0,1,1
164,1,1,0,1,0
165,1,0,0,0,0
166,1,0,1,1,1
167,0,0,1,1,1
168,1,0,0,0,0
169,0,0,1,0,1
170,0,0,1,0,1
171,1,0,0,0,1
172,1,0,0,1,1
173,0,0,0,1,1
174,1,0,1,0,0
175,1,1,0,0,0
176,0,0,0,0,0
177,0,1,0,0,1
178,1,1,0,0,0
179,0,0,1,0,0
180,1,0,0,0,1
181,1,0,0,0,0
182,1,1,1,0,1
183,1,0,0,0,1
