,brain,group1,muscle,epithelial,digestive
0,1,0,1,1,1
1,0,1,0,1,1
2,1,1,0,1,0
3,0,0,0,1,1
4,1,1,1,0,1
5,1,0,1,0,1
6,1,1,0,0,1
7,0,0,1,0,0
8,0,1,1,0,1
9,0,0,0,0,1
10,1,1,0,0,1
11,0,1,0,0,0
12,0,1,0,0,1
13,0,0,0,1,0
14,1,1,0,0,1
15,1,1,0,0,1
16,0,1,0,0,0
17,1,0,0,1,0
18,0,1,1,1,0
19,0,0,0,1,1
20,1,0,0,0,0
21,0,1,0,1,1
22,0,1,1,1,0
23,0,0,1,0,1
24,1,1,1,0,0
25,0,0,0,1,1
26,1,1,0,1,0
27,1,0,1,1,1
28,1,0,0,1,0
29,1,1,1,1,1
30,1,0,1,1,1
31,0,1,1,0,1
32,0,1,1,1,1
33,0,1,0,1,0
34,0,0,0,1,0
35,0,1,0,1,0
36,1,1,0,0,1
37,0,1,1,0,0
38,1,1,0,0,1
39,1,1,0,1,0
40,1,1,0,0,0
41,0,1,0,1,1
42,1,0,1,1,0
43,0,1,0,0,1
44,0,1,0,0,0
45,0,0,1,0,1
46,0,1,0,0,1
47,1,1,1,0,0
48,1,0,0,0,1
49,1,0,1,1,1
50,1,1,0,0,0
51,1,1,0,1,1
52,0,0,1,0,1
53,0,0,0,0,0
54,0,1,1,0,0
55,0,1,1,1,0
56,0,0,1,1,0
57,0,0,1,1,0
58,0,0,1,1,1
59,0,0,0,1,0
60,0,1,1,1,1
61,1,0,1,0,1
62,1,1,0,1,1
63,1,0,1,1,1
64,1,0,0,0,0
65,1,1,0,0,0
66,1,0,1,0,1
67,0,1,0,1,0
68,1,0,0,0,0
69,1,0,0,0,0
70,1,1,0,1,0
71,1,1,1,1,1
72,0,0,0,1,1
73,1,0,0,1,1
74,1,1,1,0,1
75,1,0,0,0,0
76,1,1,1,1,1
77,1,1,1,0,1
78,0,0,1,1,0
79,0,1,0,0,0
80,1,1,0,0,1
81,1,1,0,0,1
82,1,0,0,1,0
83,1,0,0,0,0
84,0,1,1,1,0
85,1,0,0,0,0
86,0,0,1,0,0
87,1,1,0,0,0
88,1,1,0,0,1
89,1,1,1,0,1
90,1,0,1,0,0
91,1,0,0,1,0
92,0,0,1,1,1
93,1,1,0,0,1
94,1,1,1,1,0
95,1,1,0,1,1
96,0,0,0,0,1
97,1,1,0,0,1
98,0,0,1,1,0
99,0,0,1,1,0
100,1,0,0,0,0
101,1,1,0,0,1
102,1,1,0,0,1
103,1,0,0,0,1
104,0,1,0,1,1
105,0,0,0,1,1
106,0,1,0,0,1
107,1,1,1,1,0
108,1,1,0,0,1
109,0,1,1,1,0
110,1,1,0,0,1
111,1,1,0,1,0
112,0,1,1,0,0
113,1,1,1,0,0
114,1,0,0,1,1
115,1,1,0,0,0
116,0,1,1,1,0
117,1,0,1,1,0
118,0,1,0,1,1
119,0,0,0,0,0
120,0,0,0,0,1
121,1,1,0,0,0
122,0,1,1,0,0
123,1,1,0,0,1
124,1,0,0,1,0
125,1,0,1,0,1
126,1,1,1,1,1
127,0,1,0,0,0
128,0,0,1,0,1
129,1,0,0,0,0
130,0,0,0,1,1
131,1,0,1,1,0
132,0,0,0,1,1
133,0,0,1,1,1
134,0,0,1,1,1
135,1,1,0,0,1
136,1,0,0,1,1
137,0,0,0,1,0
138,1,1,0,1,0
139,1,1,0,0,0
140,1,1,1,1,0
141,1,1,1,0,0
142,0,1,0,0,0
143,1,0,1,0,1
144,1,1,1,0,1
145,1,0,0,1,1
146,0,1,1,1,1
147,1,1,0,1,1
148,0,0,0,1,0
149,0,0,0,1,1
150,0,1,0,0,1
151,1,1,0,0,1
152,0,1,0,1,1
153,0,0,0,1,1
154,1,1,1,1,1
155,1,0,0,0,0
156,1,0,0,1,1
157,0,0,1,1,0
158,1,1,0,1,0
159,0,1,0,0,1
160,1,1,1,0,1
161,0,1,0,0,1
162,0,1,1,1,0
163,1,1,0,1,0
164,1,1,1,1,0
165,0,0,0,1,0
166,0,1,0,0,1
167,0,0,0,0,1
168,0,0,0,0,1
169,1,1,0,1,0
170,1,0,0,0,0
171,1,0,1,1,0
172,0,1,1,1,1
173,1,0,0,1,1
174,1,1,0,0,1
175,1,1,1,0,1
176,1,0,1,0,0
177,1,0,1,0,0
178,1,1,0,0,0
179,1,0,1,1,0
180,1,0,1,0,1
181,0,0,0,1,0
182,1,1,1,0,1
183,1,0,0,0,1
184,0,1,0,0,0
185,1,1,1,1,1
186,1,1,0,1,0
187,0,0,0,1,1
188,0,0,1,0,0
189,1,1,1,0,1
190,1,1,1,1,1
191,1,1,1,0,1
192,0,1,0,1,0
193,0,1,0,0,1
194,0,0,1,1,0
195,0,1,1,0,1
196,0,1,0,1,0
197,1,0,1,0,0
198,1,1,0,1,1
199,1,0,1,0,0
200,1,1,0,1,0
201,0,1,1,0,0
202,1,0,1,0,0
203,1,0,1,0,0
204,1,0,0,1,1
205,1,0,0,0,0
206,0,1,0,1,1
207,0,1,1,1,0
208,1,0,0,0,1
209,0,1,0,1,1
210,0,1,1,0,0
211,1,0,0,0,1
212,0,0,0,0,1
213,1,1,1,0,0
214,0,0,1,1,1
215,0,1,1,1,0
216,0,0,0,0,1
217,1,1,1,0,1
218,0,1,1,1,1
219,1,1,1,1,1
220,0,0,1,0,1
221,0,1,1,1,0
222,1,0,1,1,1
223,1,1,0,1,1
224,0,0,1,0,0
225,1,1,0,0,0
226,0,0,1,1,1
227,1,0,0,0,1
228,1,0,1,1,1
229,0,0,0,0,1
230,0,0,1,1,0
231,1,0,0,1,0
232,0,1,0,0,1
233,1,1,0,1,1
234,0,1,1,0,1
235,0,0,0,1,1
236,0,0,1,0,0
237,1,1,0,0,1
238,1,1,1,0,1
239,1,1,1,0,0
240,1,0,1,1,0
241,1,0,1,1,0
242,1,0,0,1,0
243,0,0,1,0,0
244,0,0,0,1,0
245,0,1,1,0,1
246,0,0,0,0,0
247,1,0,1,1,1
248,0,1,1,0,1
249,1,0,0,1,0
250,1,0,1,1,1
251,1,0,1,1,1
252,0,1,0,0,1
253,0,0,0,1,1
254,0,0,1,0,1
255,1,1,0,1,1
256,1,0,0,1,1
257,0,1,0,1,1
258,0,1,0,1,0
259,1,1,1,1,1
260,0,1,0,0,1
261,0,0,0,0,1
262,0,1,1,1,0
263,0,0,0,1,0
264,1,0,0,0,0
265,1,1,1,1,0
266,0,0,1,1,0
267,0,1,1,1,0
268,1,1,0,0,1
269,1,0,0,0,0
270,1,0,1,0,0
271,0,1,1,0,1
272,1,0,0,1,1
273,1,0,0,0,0
274,0,0,1,1,0
275,0,0,0,1,0
276,0,0,0,0,1
277,0,1,0,1,1
278,1,0,1,1,0
279,1,1,1,0,1
280,0,1,0,1,0
281,1,0,0,0,1
282,1,0,1,0,1
283,1,0,1,0,0
284,1,0,1,0,1
285,1,0,1,1,1
286,1,1,0,1,0
287,1,1,0,0,0
288,1,0,1,1,1
289,0,1,0,0,1
290,1,0,0,1,1
291,1,1,1,1,1
292,0,1,0,1,1
293,0,0,1,1,0
294,0,0,1,0,0
295,0,1,1,0,0
296,0,0,0,0,1
297,0,1,0,1,0
298,0,0,0,0,0
299,1,1,0,0,1
300,1,1,1,0,1
301,0,1,1,0,0
302,1,0,0,0,0
303,1,0,0,0,0
304,0,1,1,1,0
305,0,1,0,0,0
306,0,1,1,1,0
307,0,1,0,1,1
308,0,0,1,1,1
309,1,1,0,1,1
310,0,1,0,1,0
311,1,1,0,1,0
312,1,1,1,0,1
313,1,1,0,1,0
314,1,0,0,0,0
315,0,0,0,1,1
316,0,1,1,1,1
317,1,0,1,0,0
318,0,0,1,1,1
319,0,0,1,1,0
320,0,1,0,1,0
321,0,1,1,1,1
322,1,0,1,1,1
323,0,1,0,0,0
324,1,0,0,0,0
325,1,0,0,1,1
326,1,0,0,1,0
327,0,0,0,1,1
328,1,0,0,0,0
329,1,1,1,0,1
330,1,0,0,0,1
331,1,1,0,0,0
