,brain,group1,muscle,epithelial,digestive
0,1,0,0,1,1
1,0,1,0,0,1
2,0,1,0,1,1
3,1,1,0,1,0
4,1,1,0,0,1
5,0,0,0,0,0
6,1,1,0,1,1
7,1,1,0,0,1
8,0,1,1,0,1
9,1,0,0,1,1
10,0,0,1,0,1
11,0,1,0,0,0
12,0,0,0,1,1
13,0,1,0,0,1
14,0,0,0,1,1
15,0,1,0,1,1
16,0,1,0,1,0
17,0,0,0,1,1
18,1,1,0,1,1
19,0,1,0,1,1
20,0,1,0,0,0
21,1,1,1,1,1
22,1,1,0,0,0
23,1,0,0,0,1
24,0,0,0,0,1
25,0,1,0,0,1
26,1,1,0,1,1
27,0,1,0,1,0
28,1,0,0,0,1
29,0,1,0,1,1
30,1,0,0,1,1
31,1,1,0,0,0
32,0,0,0,0,1
33,0,0,0,1,1
34,1,0,0,0,1
35,0,0,0,1,0
36,0,1,1,0,1
37,0,0,1,1,0
38,0,0,0,0,0
39,1,1,0,1,0
40,1,1,0,1,0
41,0,1,0,0,1
42,0,1,0,1,1
43,0,1,0,0,1
44,0,1,0,0,0
45,0,0,0,1,1
46,0,1,0,0,1
47,0,0,0,0,1
48,0,1,0,1,0
49,1,0,0,1,0
50,1,1,0,0,1
51,1,0,1,0,1
52,1,1,0,0,1
53,1,1,0,0,1
54,0,1,1,0,1
55,1,1,0,0,0
56,0,0,1,1,1
57,1,0,0,1,0
58,0,1,0,1,1
59,0,0,0,1,1
60,0,1,0,1,1
61,0,0,0,1,1
62,0,1,0,1,1
63,1,1,0,1,1
64,1,0,0,0,1
65,1,0,0,0,1
66,1,1,0,0,1
67,1,1,0,1,1
68,1,1,0,1,0
69,0,0,1,0,0
70,0,1,0,1,1
71,0,1,1,1,1
72,0,1,0,1,0
73,1,0,1,1,1
74,0,1,0,1,1
75,1,0,1,0,0
76,1,1,1,0,1
77,0,1,0,0,1
78,0,0,1,1,0
79,1,1,1,1,1
80,1,0,0,0,1
81,0,1,0,1,1
82,1,1,0,0,1
83,1,1,0,1,1
84,0,1,1,1,1
85,1,0,0,1,0
86,0,0,0,0,1
87,1,1,0,0,1
88,0,0,0,0,1
89,1,1,1,0,1
90,0,1,1,0,1
91,1,0,0,0,0
92,0,0,1,1,0
93,0,1,0,1,1
94,1,1,0,0,0
95,0,0,0,1,1
96,1,0,0,0,1
97,1,1,0,0,0
98,1,0,0,0,0
99,0,1,1,0,0
100,1,0,0,0,1
101,0,0,0,0,1
102,0,1,1,1,0
103,1,0,0,0,1
104,0,0,0,1,1
105,0,1,0,1,0
106,0,1,0,0,1
107,0,0,0,1,1
108,0,1,0,1,1
109,1,0,0,0,1
110,0,1,0,0,1
111,1,0,0,1,0
112,0,0,0,1,0
113,0,1,0,0,1
114,1,0,0,0,1
