,brain,group1,muscle,epithelial,digestive
0,1,1,0,0,0
1,1,1,1,1,1
2,0,0,0,1,1
3,0,0,0,0,0
4,1,1,1,1,1
5,1,0,0,1,0
6,1,1,1,0,1
7,1,1,0,0,1
8,0,0,1,1,0
9,0,0,0,1,1
10,0,1,1,1,1
11,0,1,0,1,0
12,0,1,1,0,1
13,1,0,0,1,1
14,1,1,1,0,0
15,1,1,0,1,0
16,1,1,0,0,1
17,0,1,0,0,0
18,0,1,1,0,0
19,0,0,0,1,0
20,1,1,0,1,1
21,0,1,0,0,1
22,1,1,0,1,0
23,0,0,0,0,1
24,0,1,1,1,1
25,0,1,0,0,1
26,1,1,1,0,0
27,1,1,0,1,0
28,0,1,1,1,0
29,1,0,1,0,0
30,0,1,0,1,0
31,0,1,1,1,0
32,1,0,0,0,0
33,0,0,1,0,0
34,1,0,0,1,0
35,0,1,1,1,1
36,0,1,0,0,1
37,1,1,0,0,1
38,0,1,0,1,1
39,1,0,0,0,0
40,0,0,0,1,0
41,1,1,1,0,0
42,1,0,0,0,0
43,1,0,1,0,1
44,0,0,0,0,0
45,1,0,0,1,0
46,1,0,0,0,0
47,1,0,1,0,0
48,0,0,1,1,0
49,1,1,0,1,1
50,0,0,0,1,1
51,0,1,1,0,1
52,1,1,0,0,0
53,0,0,0,0,1
54,0,0,1,0,0
55,1,1,1,0,0
56,0,0,0,0,0
57,0,1,0,0,1
58,1,1,0,0,0
59,0,1,1,0,1
60,0,0,0,1,1
61,1,0,0,1,1
62,0,0,0,0,0
63,1,0,1,0,1
64,1,0,0,1,1
65,0,1,0,0,0
66,0,0,0,0,1
67,1,0,0,0,0
68,1,0,1,1,1
69,0,0,1,1,0
70,1,1,0,1,0
71,0,0,0,0,1
72,0,1,1,1,0
73,0,1,1,1,0
74,0,0,1,0,0
75,0,0,1,1,0
76,0,0,1,1,0
77,0,1,0,1,0
78,1,1,0,1,0
79,0,0,0,1,0
80,0,0,0,1,0
81,0,0,0,1,1
82,1,1,0,1,1
83,0,0,0,1,0
84,0,0,1,1,0
85,1,0,1,0,0
86,0,0,0,0,0
87,0,0,1,1,0
88,0,1,0,1,1
89,0,0,0,0,0
90,0,0,0,0,0
91,1,1,0,1,0
92,1,0,0,1,0
93,0,0,0,1,1
94,1,1,0,0,0
95,0,0,0,0,0
96,0,0,0,0,1
97,0,0,1,0,0
98,1,1,1,1,0
99,0,1,1,1,1
100,0,0,0,1,0
101,0,0,1,1,1
102,1,1,0,1,0
103,0,0,1,0,1
104,0,1,0,0,0
105,1,1,0,0,1
106,1,1,1,0,0
107,1,0,0,0,1
108,1,0,1,1,0
109,0,1,1,0,0
110,1,0,1,1,0
111,0,0,0,0,0
112,1,0,0,0,0
113,1,1,0,1,0
114,1,1,1,1,0
115,1,1,0,1,1
116,1,0,0,0,0
117,1,0,0,0,1
118,0,0,0,1,1
119,1,0,0,0,0
120,1,1,1,0,0
121,0,1,1,0,0
122,1,0,0,0,1
123,0,1,1,1,1
124,1,0,0,0,0
125,1,1,0,0,1
126,1,1,1,1,1
127,0,1,1,0,1
128,1,0,0,0,1
129,0,0,0,0,1
130,1,0,1,0,0
131,1,0,1,1,0
132,1,0,0,1,1
133,1,1,1,1,1
134,1,0,0,0,0
135,1,0,0,0,1
136,0,1,1,0,1
137,0,0,0,0,0
138,0,0,0,0,1
139,0,1,0,0,0
140,0,0,1,0,1
141,0,1,0,0,1
142,1,0,0,0,0
143,0,0,0,1,1
144,0,1,0,0,0
145,0,1,0,0,1
146,0,0,1,0,1
147,0,0,1,1,0
148,0,1,1,0,0
149,1,0,1,0,0
150,1,1,1,0,0
151,0,1,1,0,0
152,1,0,1,1,0
153,0,1,0,1,0
154,1,0,1,1,1
155,0,1,1,1,0
156,0,1,0,1,1
157,1,1,1,0,0
158,0,0,0,1,1
159,0,1,1,1,1
160,1,0,0,0,0
161,0,0,1,1,0
162,1,0,0,0,1
163,0,0,1,0,0
164,1,1,0,1,1
165,0,1,0,0,0
166,0,1,0,0,0
167,0,0,0,1,1
168,0,1,1,1,1
169,0,1,0,1,1
170,0,0,0,0,0
171,0,1,1,1,1
172,0,1,0,0,0
173,0,0,1,1,1
174,1,0,1,1,1
175,1,0,1,0,0
176,0,1,1,0,1
177,0,0,1,0,0
178,1,0,0,1,1
179,0,0,1,1,1
180,1,0,0,1,0
181,1,0,0,0,1
182,1,1,0,0,0
183,0,1,0,0,1
184,0,0,0,1,1
185,1,0,1,0,0
186,0,1,0,0,1
187,1,1,0,0,1
188,1,0,1,1,0
189,1,0,1,1,0
190,1,0,1,1,1
191,1,1,1,1,1
192,0,1,0,0,0
193,0,0,1,1,0
194,1,0,1,1,0
195,1,1,0,0,0
196,1,1,1,0,0
197,1,1,1,0,1
198,0,1,1,0,0
199,0,0,0,0,1
200,1,1,0,0,1
201,1,0,1,1,0
202,1,1,1,0,0
203,0,0,0,1,1
204,0,0,0,0,0
205,1,0,0,0,0
206,0,0,1,1,0
207,0,0,1,0,0
208,0,1,1,0,1
209,1,0,1,1,1
210,1,0,0,1,1
211,0,0,1,0,0
212,0,0,0,1,1
213,0,1,0,0,1
214,0,0,1,1,0
215,0,0,1,0,0
216,1,0,0,0,0
217,0,0,0,1,1
218,0,1,1,0,0
219,0,0,1,1,1
220,0,0,1,1,1
221,1,1,0,0,1
222,1,1,1,1,0
223,0,0,0,1,0
224,0,0,1,1,1
225,1,1,1,0,1
226,1,0,0,1,1
227,0,1,1,0,0
228,0,1,0,0,1
229,0,1,0,1,1
230,1,0,1,1,0
231,1,1,1,1,1
232,1,1,0,1,0
233,1,1,1,1,1
234,1,1,0,0,1
235,0,1,0,1,0
236,0,0,0,0,0
237,0,0,1,1,1
238,1,0,1,1,1
239,1,1,0,0,0
240,1,0,0,0,0
241,0,0,0,1,1
242,0,0,0,1,0
243,0,1,0,1,0
244,0,0,1,0,1
245,1,0,1,0,0
246,0,0,1,0,1
247,0,1,0,0,0
248,1,0,0,0,0
249,1,0,0,1,1
250,1,1,0,0,0
251,1,0,0,1,0
252,1,1,0,0,0
253,1,1,0,1,1
254,0,1,1,0,0
255,1,1,0,1,1
256,0,0,1,1,1
257,1,0,1,0,0
258,0,1,0,1,0
259,1,0,1,1,1
260,0,0,0,1,0
261,1,0,1,1,0
262,1,1,1,1,0
263,1,0,0,0,0
264,1,1,0,1,0
265,1,1,1,0,1
266,0,1,1,0,1
267,0,1,0,1,0
268,0,1,1,1,1
269,0,1,0,0,0
270,0,1,1,0,0
271,0,0,0,0,0
272,1,1,0,1,1
273,1,1,1,1,0
274,1,0,0,0,0
275,0,1,0,1,0
276,1,0,1,1,0
277,0,0,1,1,1
278,1,0,0,1,1
279,0,1,0,0,1
280,1,1,0,1,0
281,0,0,1,0,0
282,0,1,0,0,0
283,1,0,1,0,0
284,1,0,0,0,1
285,0,1,0,0,1
286,0,1,0,0,1
287,0,1,0,0,0
288,0,1,1,0,0
289,1,0,0,0,0
290,0,1,0,0,0
291,1,0,1,1,1
292,0,0,0,0,1
293,1,0,0,1,1
294,1,0,1,1,0
295,0,0,1,1,0
296,0,1,0,0,0
297,1,0,0,0,1
298,1,0,1,0,0
299,1,1,0,0,1
300,0,0,1,0,0
301,1,0,0,0,0
302,0,0,0,0,0
303,0,1,0,0,0
304,0,0,0,1,0
305,0,0,0,0,0
306,1,0,0,0,0
307,0,0,0,0,0
308,0,0,1,0,0
309,0,1,0,0,0
310,1,1,0,1,1
311,1,1,0,1,1
312,1,0,1,1,0
313,1,1,1,1,1
314,0,0,0,1,1
315,0,1,0,1,0
316,1,1,0,0,0
317,1,1,1,0,1
318,1,0,1,0,0
319,0,1,1,0,0
320,0,1,0,1,1
321,1,0,0,1,1
322,1,1,1,0,0
323,0,1,0,1,0
324,1,1,1,1,1
325,0,0,1,1,0
326,0,0,1,0,1
327,0,0,0,0,1
328,0,1,0,1,1
329,0,0,0,1,1
330,0,0,1,0,0
331,0,1,0,0,1
332,0,1,1,1,1
333,0,0,0,0,1
334,1,1,1,0,0
335,1,0,1,1,1
336,1,0,1,0,0
337,0,1,0,0,1
338,0,1,0,0,1
339,1,0,1,0,1
340,0,0,0,1,0
341,0,0,1,1,1
342,1,1,0,1,1
343,0,0,1,0,1
344,0,1,0,1,0
345,1,1,1,0,0
346,0,1,1,1,1
347,0,0,0,0,1
348,0,0,1,0,0
349,0,1,1,0,1
350,1,0,1,1,0
351,1,1,1,0,0
352,1,1,1,1,0
353,1,0,1,0,1
354,0,1,0,0,0
355,1,1,0,0,1
356,0,0,0,0,0
357,0,1,1,1,1
358,0,1,0,1,1
359,1,0,1,0,0
360,0,1,1,0,0
361,1,0,0,1,0
362,1,1,0,0,0
363,0,0,1,0,1
364,1,1,1,1,0
365,0,0,1,0,1
366,0,1,1,1,0
367,0,1,0,1,0
368,0,1,0,0,0
369,1,1,1,0,1
370,1,1,0,0,0
371,1,1,1,0,1
372,1,0,1,0,0
373,0,0,0,0,0
374,1,0,0,1,1
375,1,0,1,1,0
376,0,0,1,0,1
377,1,0,1,0,0
378,1,1,1,0,1
379,1,0,1,1,1
380,1,1,1,0,1
381,1,0,1,0,1
382,0,1,0,1,0
383,0,1,1,1,0
384,0,1,1,0,0
385,1,1,1,0,0
386,0,1,0,0,1
387,1,1,0,0,0
388,0,1,0,0,0
389,0,0,1,0,0
390,0,0,1,1,1
391,0,0,1,1,0
392,0,0,0,1,1
393,1,0,0,1,0
394,1,1,0,1,0
395,0,1,1,1,1
396,0,0,1,0,0
397,1,1,1,1,0
398,0,0,0,0,0
399,0,1,0,0,0
400,1,0,0,0,0
401,1,1,1,1,0
