,brain,group1,muscle,epithelial,digestive
0,1,1,0,1,1
1,0,1,0,0,1
2,1,0,0,0,1
3,0,1,1,1,1
4,0,1,0,1,1
5,1,1,1,1,1
6,0,1,0,1,1
7,0,1,1,0,0
8,1,1,1,0,1
9,0,0,1,1,0
10,1,1,1,0,0
11,1,1,0,0,1
12,0,0,1,0,1
13,0,0,1,0,0
14,1,1,1,1,0
15,0,1,1,1,1
16,0,1,0,1,1
17,1,0,1,0,1
18,1,1,0,0,1
19,1,1,1,0,0
20,0,1,0,1,1
21,1,1,0,0,1
22,1,0,1,0,0
23,0,0,0,0,1
24,0,1,1,1,0
25,0,0,1,1,0
26,1,1,1,1,0
27,1,1,0,0,0
28,0,0,0,1,0
29,0,0,0,1,1
30,1,1,0,1,0
31,1,0,1,1,0
32,1,0,1,0,1
33,1,1,1,0,1
34,1,1,1,0,0
35,0,0,1,0,1
36,1,1,1,1,1
37,1,0,0,1,0
38,1,1,1,1,1
39,0,0,0,0,1
40,1,1,0,0,1
41,1,1,1,1,1
42,0,1,1,1,1
43,1,0,0,1,1
44,0,1,1,0,1
45,1,0,1,0,1
46,0,1,0,1,0
47,0,0,0,1,0
48,1,1,0,1,0
49,1,1,0,0,1
50,0,0,1,0,1
51,1,1,1,1,1
52,0,1,1,1,0
53,0,1,1,1,0
54,1,1,1,1,1
55,0,1,1,0,1
56,1,1,1,1,1
57,1,0,0,1,1
58,1,0,1,1,0
59,0,0,0,0,1
60,1,1,1,1,0
61,1,1,0,0,1
62,0,1,1,0,0
63,1,1,1,1,1
64,0,0,0,1,1
65,0,1,1,1,1
66,0,1,1,1,1
67,0,0,0,0,0
68,0,0,1,1,1
69,0,1,1,0,0
70,1,1,0,1,1
71,0,1,1,1,1
72,0,1,0,0,0
73,0,0,0,1,0
74,1,1,1,0,1
75,1,1,0,1,1
76,0,0,0,1,1
77,0,1,1,1,1
78,1,0,1,0,1
79,0,0,1,1,1
80,1,1,1,1,1
81,0,1,0,0,1
82,1,1,0,1,0
83,0,1,1,0,1
84,0,0,0,0,1
85,1,0,1,1,0
86,0,1,1,0,0
87,0,1,1,0,1
88,1,1,1,0,1
89,1,1,0,1,0
90,0,0,1,1,1
91,0,1,0,1,1
92,1,1,1,0,0
93,1,1,1,0,1
94,1,1,0,0,0
95,0,0,1,1,1
96,0,1,0,0,0
97,1,1,1,0,1
98,1,1,1,0,1
99,1,1,1,1,1
100,0,0,1,1,0
101,1,0,0,1,1
102,0,1,1,1,1
103,1,1,1,1,1
104,0,1,1,0,0
105,1,0,1,0,1
106,1,1,1,1,1
107,0,1,0,0,1
108,1,1,0,0,1
109,1,1,1,1,0
110,0,0,1,0,1
111,0,1,1,1,0
112,0,1,0,1,0
113,1,0,1,0,1
114,1,1,0,1,0
115,0,1,0,0,0
116,1,1,1,1,1
117,0,0,0,0,1
118,0,1,0,1,1
119,1,1,1,1,1
120,1,1,0,1,0
121,1,1,0,0,1
122,1,0,1,1,1
123,0,1,0,1,0
124,1,1,1,1,1
125,0,1,0,0,1
126,1,0,1,0,1
127,0,0,1,1,1
128,0,1,0,1,1
129,1,0,0,0,1
130,1,1,1,1,1
131,1,0,0,0,1
132,1,1,1,1,1
133,1,0,0,1,1
134,0,1,0,1,1
135,0,0,0,1,0
136,1,0,0,1,1
137,1,0,0,0,1
138,1,1,1,0,1
139,1,1,1,0,1
140,1,1,1,1,1
141,0,0,1,1,0
142,1,1,0,1,1
143,0,1,1,0,1
144,1,1,1,1,0
145,0,0,0,1,1
146,0,0,0,1,1
147,0,0,0,1,1
148,1,1,0,1,1
149,1,1,1,1,0
150,1,0,1,1,0
151,1,0,1,0,0
152,1,1,0,1,1
153,0,1,1,1,1
154,0,0,0,1,0
155,1,1,1,0,1
156,0,0,1,1,1
157,1,0,1,0,1
158,1,0,1,0,1
159,1,1,1,0,0
160,1,1,1,1,1
161,1,1,0,1,1
162,1,0,0,1,1
163,1,0,1,0,1
164,1,1,1,1,0
165,1,1,0,1,0
166,1,1,0,1,1
167,1,1,1,0,0
168,1,1,1,1,1
169,0,1,0,1,1
170,1,0,0,1,0
171,1,1,1,0,1
172,1,0,1,1,0
173,1,1,0,0,1
174,1,0,1,0,0
175,1,1,1,0,1
176,1,0,0,1,0
177,1,1,1,0,1
178,1,1,1,0,1
179,0,1,0,0,0
180,0,1,0,1,0
181,1,1,1,0,0
182,0,1,1,1,0
183,0,1,0,1,1
184,1,0,0,1,1
185,1,1,1,0,1
186,1,1,1,1,0
187,0,1,1,1,1
188,1,1,1,1,1
189,1,0,1,1,0
190,1,1,1,0,0
191,0,1,1,0,0
192,1,0,1,0,1
193,1,1,0,1,1
194,1,0,0,1,1
195,0,0,1,1,1
196,1,1,1,0,1
197,1,0,1,1,0
198,1,0,1,0,0
199,1,1,1,1,0
200,0,1,0,1,1
201,0,1,1,1,1
202,0,1,0,0,1
203,1,0,0,0,0
204,1,1,1,0,0
205,1,1,1,0,1
206,1,1,1,1,0
207,0,1,0,1,1
208,1,1,1,1,1
209,1,0,1,1,1
210,1,0,1,1,0
211,0,0,1,0,1
212,1,1,0,1,0
213,1,0,0,1,0
214,0,0,0,0,0
215,1,1,0,0,0
216,0,1,0,0,1
217,1,1,1,0,1
218,1,1,0,0,0
219,1,1,0,1,0
220,0,0,0,0,0
221,0,0,0,0,1
222,1,1,1,0,0
223,0,1,1,1,1
224,0,1,0,1,0
225,0,1,0,0,0
226,0,1,0,1,1
227,0,1,1,0,1
228,0,0,0,1,0
229,1,0,1,0,1
230,0,0,0,0,1
231,0,0,1,0,1
232,0,0,1,1,1
