,brain,group1,muscle,epithelial,digestive
0,0,1,0,1,0
1,0,0,1,0,1
2,1,0,0,1,0
3,1,1,0,0,1
4,1,1,0,0,0
5,0,1,0,0,0
6,1,0,0,1,1
7,0,1,1,0,0
8,0,0,0,0,0
9,0,0,1,0,1
10,1,1,1,0,1
11,0,1,0,0,1
12,1,0,0,1,1
13,1,0,1,1,1
14,0,0,0,1,1
15,0,0,0,0,1
16,0,1,0,0,0
17,1,0,1,1,1
18,0,0,1,1,1
19,0,0,1,1,1
20,1,0,1,0,0
21,1,0,0,0,1
22,1,1,1,1,1
23,0,1,0,1,0
24,1,1,1,1,1
25,0,0,0,1,1
26,0,0,1,0,0
27,1,1,0,0,0
28,1,1,1,1,1
29,1,1,1,1,0
30,0,1,1,1,0
31,0,0,0,0,1
32,0,1,1,0,1
33,1,1,0,0,0
34,1,1,0,1,1
35,1,0,1,0,0
36,0,0,0,1,0
37,0,1,1,0,0
38,1,1,1,0,1
39,1,1,1,1,1
40,0,0,1,1,0
41,0,0,1,0,1
42,0,0,0,0,1
43,1,1,1,0,1
44,1,1,1,1,1
45,0,0,0,0,0
46,0,0,0,0,0
47,1,1,1,1,1
48,0,0,0,1,0
49,0,0,0,0,0
50,0,0,0,0,1
51,0,1,1,0,1
52,0,1,0,0,0
53,0,1,0,0,0
54,0,0,0,0,0
55,1,0,0,1,0
56,1,1,1,1,0
57,1,0,0,0,1
58,0,0,1,0,0
59,0,1,0,1,1
60,1,1,1,0,0
61,1,0,0,1,1
62,1,0,1,0,1
63,0,0,1,0,0
64,1,1,1,1,1
65,0,1,0,0,1
66,1,1,0,1,0
67,1,0,0,1,1
68,0,0,1,0,1
69,0,0,1,1,0
70,0,0,0,0,0
71,0,0,0,0,1
72,0,1,1,1,1
73,0,1,1,1,1
74,1,1,0,0,0
75,1,1,0,0,1
76,1,1,0,0,0
77,0,0,1,0,1
78,1,1,1,1,1
79,0,0,0,1,1
80,1,0,1,0,1
81,0,1,0,0,1
82,1,1,0,0,1
83,0,0,1,1,1
84,0,1,1,1,0
85,1,0,1,0,1
86,1,0,0,0,0
87,0,1,1,1,1
88,1,1,1,0,0
89,1,1,1,0,1
90,1,1,1,0,0
91,1,1,1,0,0
92,1,1,1,0,0
93,0,0,1,1,0
94,0,0,1,0,1
95,1,0,0,0,1
96,0,0,1,1,1
97,1,0,0,0,1
98,0,0,1,1,1
99,0,0,0,0,1
100,0,1,1,0,0
101,0,1,1,1,1
102,1,1,1,0,1
103,1,1,1,1,1
104,1,1,0,0,0
105,0,1,0,1,1
106,0,1,1,0,0
107,1,1,0,0,1
108,0,0,0,0,1
109,1,0,1,0,0
110,0,0,0,1,0
111,1,0,0,0,1
112,0,0,1,1,0
113,1,0,0,1,1
114,0,0,1,1,1
115,1,0,0,0,0
116,0,0,1,1,0
117,0,1,0,0,0
118,0,1,1,0,0
119,0,1,1,0,0
120,0,0,0,1,0
121,1,0,0,0,0
122,0,0,0,1,1
123,1,1,0,0,1
124,0,1,1,1,1
125,1,0,0,1,1
126,0,1,0,1,1
127,0,0,0,0,1
128,0,1,1,1,1
129,0,0,0,1,1
130,0,1,0,1,0
131,1,1,1,0,0
132,0,0,1,0,0
133,0,0,1,0,0
134,0,0,0,0,1
135,0,1,0,1,1
136,0,0,0,1,1
137,1,0,0,1,1
138,0,0,0,0,1
139,1,0,0,0,1
140,1,0,1,0,0
141,0,0,1,1,0
142,0,1,0,1,1
143,1,1,1,0,0
144,1,0,0,1,1
145,1,0,0,0,1
146,0,1,0,0,0
147,0,1,0,0,0
148,1,1,0,0,0
149,1,1,0,1,0
150,0,0,1,0,0
151,0,0,1,0,1
152,1,1,0,1,0
153,0,1,0,0,0
154,0,0,0,0,1
155,1,0,1,0,1
156,0,0,1,1,0
157,0,1,0,0,0
158,0,0,1,0,0
159,1,1,1,0,0
160,1,0,0,0,0
161,0,0,0,0,1
162,0,0,0,0,1
163,0,1,0,0,1
164,1,1,1,0,1
165,0,1,0,0,0
166,0,1,1,1,0
167,0,1,0,1,0
168,1,1,1,1,1
169,0,0,1,0,0
170,1,0,0,1,0
171,0,1,0,0,1
172,1,0,0,0,0
173,0,0,1,0,0
174,0,0,1,0,1
175,0,0,1,1,0
176,0,1,0,1,0
177,1,0,1,1,0
178,1,0,0,0,0
179,0,1,1,1,1
180,1,0,0,1,0
181,1,1,0,0,1
182,0,1,1,0,0
183,0,0,0,1,1
184,1,0,0,1,1
185,1,1,1,0,1
186,1,0,0,1,1
187,1,0,0,1,0
188,0,1,0,1,0
189,0,0,1,1,0
190,1,0,1,1,1
191,0,1,0,1,0
192,1,1,0,1,0
193,1,1,0,0,0
194,0,1,1,0,0
195,0,0,1,1,0
196,1,0,1,0,0
197,0,1,0,0,0
198,1,1,0,1,1
199,1,0,0,1,1
200,1,1,0,0,0
201,1,0,0,1,0
202,0,0,0,0,0
203,1,0,1,0,0
204,1,0,0,0,0
205,1,0,0,0,0
206,0,1,0,0,0
207,0,1,1,1,0
208,0,0,0,1,1
209,0,1,0,1,1
210,1,1,1,1,0
211,0,0,0,0,0
212,0,0,1,1,0
213,1,1,0,0,0
214,1,0,0,0,1
215,1,0,1,0,1
216,0,0,0,0,0
217,0,1,1,1,0
218,0,1,0,1,1
219,0,0,0,1,0
220,0,0,1,1,1
221,0,0,0,0,0
222,0,0,1,0,1
223,0,0,0,0,1
224,1,0,0,1,0
225,1,0,0,1,0
226,1,1,0,1,1
227,1,1,0,0,0
228,1,0,0,1,0
229,1,0,1,1,0
230,1,0,0,1,0
231,0,0,1,1,0
232,0,1,1,0,0
233,1,0,0,1,0
234,0,1,0,1,1
235,1,0,0,0,1
236,1,1,0,1,0
237,1,0,0,0,0
238,1,0,1,0,1
239,0,0,1,0,1
240,1,0,0,1,0
241,1,0,1,1,1
242,1,1,1,0,1
243,0,0,1,0,0
244,1,0,0,0,0
245,1,0,0,0,0
246,0,1,0,0,1
247,0,0,1,1,1
248,1,0,0,0,0
249,1,0,1,0,1
250,0,0,0,0,1
251,1,1,1,1,0
252,0,1,0,1,1
253,1,1,1,0,1
254,1,0,1,0,1
255,1,0,0,1,0
256,1,1,1,1,0
257,0,0,1,0,0
258,1,1,0,0,0
259,1,0,0,1,0
260,0,0,1,1,0
261,0,1,0,1,1
262,1,0,0,1,1
263,0,1,1,0,0
264,0,0,0,0,0
265,0,0,0,1,1
266,1,0,0,0,1
267,1,1,1,1,1
268,1,0,1,0,0
269,0,1,0,1,0
270,1,1,1,1,0
271,1,1,1,1,0
272,0,0,0,1,0
273,0,0,0,1,0
274,0,0,0,0,0
275,0,0,1,1,0
276,0,0,1,1,0
277,1,0,0,0,1
278,0,0,1,0,0
279,1,1,1,0,0
280,1,1,1,0,1
281,1,0,0,0,0
282,1,0,1,0,0
283,1,0,0,1,1
284,1,0,1,0,0
285,0,0,0,0,1
286,0,1,0,1,1
287,0,1,0,0,0
288,1,1,0,0,0
289,1,0,0,1,1
290,1,0,1,0,1
291,0,0,1,0,0
292,1,0,0,0,0
293,1,0,1,1,1
294,0,0,0,0,0
295,0,0,0,0,0
296,1,0,0,0,0
297,1,1,0,0,1
298,1,0,1,0,1
299,0,1,0,1,1
300,0,0,0,1,1
301,1,1,0,0,0
302,0,1,0,1,1
303,0,0,0,1,0
304,0,1,1,0,0
305,0,0,0,1,0
306,0,1,0,1,0
307,0,0,0,1,1
308,0,0,0,0,1
309,0,1,1,0,0
310,1,1,1,1,0
311,0,1,0,0,1
312,0,0,0,0,0
