,brain,group1,muscle,epithelial,digestive
0,1,0,0,0,1
1,0,0,1,1,0
2,1,1,1,1,0
3,0,0,0,1,0
4,0,0,0,1,1
5,1,1,1,1,0
6,0,1,0,0,0
7,0,1,1,1,0
8,1,1,1,0,1
9,0,0,1,0,1
10,1,1,0,1,0
11,1,0,0,0,1
12,0,0,1,0,0
13,0,0,1,0,0
14,0,1,0,1,1
15,1,1,1,1,1
16,0,1,1,0,0
17,0,0,0,0,0
18,0,1,1,0,0
19,1,0,0,0,1
20,0,0,0,1,0
21,1,1,0,0,1
22,1,0,1,0,1
23,1,0,1,0,1
24,0,0,1,1,0
25,0,0,1,1,0
26,0,1,1,0,0
27,0,0,1,0,1
28,1,1,0,0,1
29,1,0,1,0,1
30,1,1,0,1,1
31,1,1,1,1,0
32,0,1,1,1,1
33,0,0,1,0,1
34,1,1,1,1,0
35,0,1,1,1,0
36,0,0,0,0,1
37,0,1,0,0,0
38,0,1,0,0,1
39,0,0,0,1,1
40,1,0,1,1,0
41,0,0,1,0,1
42,1,1,0,1,1
43,1,0,0,1,1
44,1,0,0,0,1
45,0,0,0,1,1
46,1,1,0,1,1
47,1,1,0,0,1
48,1,0,1,0,1
49,1,1,0,0,1
50,1,1,1,0,1
51,0,0,1,1,0
52,1,1,0,1,1
53,1,1,1,1,0
54,0,1,0,1,0
55,1,0,1,1,1
56,1,1,0,0,1
57,1,1,0,1,1
58,0,1,1,0,1
59,0,1,0,0,1
60,1,0,1,1,1
61,0,0,0,0,0
62,0,0,0,1,1
63,0,0,0,0,0
64,1,0,0,0,1
65,1,1,0,1,0
66,1,0,1,1,1
67,1,1,0,1,1
68,1,0,0,0,1
69,0,1,0,0,1
70,1,0,0,1,0
71,0,0,0,0,1
72,0,1,0,0,1
73,1,1,1,1,1
74,0,1,0,1,1
75,0,0,1,1,1
76,0,1,1,0,1
77,1,0,0,0,0
78,1,1,1,1,0
79,0,0,1,1,1
80,0,1,1,1,0
81,1,1,0,0,1
82,0,1,1,0,1
83,0,0,1,1,0
84,1,1,1,0,1
85,0,0,0,0,0
86,0,0,0,0,1
87,0,1,0,0,1
88,1,0,1,1,1
89,0,0,1,1,1
90,1,0,1,1,1
91,0,0,1,0,1
92,1,1,0,1,0
93,0,0,0,0,1
94,0,1,0,1,1
95,0,1,0,0,1
96,0,1,1,0,0
97,1,1,0,0,1
98,0,0,0,1,1
99,0,0,0,1,1
100,0,1,0,0,1
101,0,1,1,0,1
102,1,0,1,0,1
103,0,1,0,0,0
104,0,1,1,1,0
105,1,0,1,1,1
106,0,0,0,1,1
107,1,0,0,0,1
108,1,1,0,1,1
109,1,0,1,0,0
110,1,1,1,1,0
111,0,1,0,1,1
112,0,1,0,0,0
113,1,1,0,1,1
114,0,1,1,1,0
115,0,1,1,1,0
116,0,1,1,1,0
117,1,0,0,1,1
118,0,1,0,0,1
119,0,0,1,1,0
120,0,0,0,1,1
121,1,0,1,0,0
122,0,1,0,1,1
123,0,0,0,1,1
124,1,1,0,1,0
125,0,1,1,1,1
126,1,1,0,1,1
127,0,1,0,1,1
128,0,0,0,0,1
129,0,1,0,1,0
