,brain,group1,muscle,epithelial,digestive
0,1,1,0,1,0
1,0,0,1,1,0
2,0,1,0,1,1
3,1,1,1,1,1
4,0,1,1,0,0
5,1,1,0,1,1
6,1,0,1,1,1
7,1,0,0,1,1
8,1,1,1,1,0
9,1,0,1,1,1
10,0,1,1,1,0
11,1,1,1,0,1
12,0,0,1,0,0
13,1,1,1,0,1
14,0,0,1,1,1
15,1,1,0,1,1
16,0,1,1,0,0
17,1,0,0,0,0
18,0,0,0,0,1
19,1,1,0,0,1
20,1,0,1,0,0
21,1,0,0,1,0
22,1,0,0,1,0
23,1,0,1,1,1
24,1,0,1,1,1
25,1,0,0,0,1
26,0,1,0,1,0
27,0,1,0,0,1
28,1,0,0,0,1
29,0,0,1,1,1
30,1,0,0,1,1
31,0,1,1,0,1
32,1,0,1,1,1
33,0,1,0,1,0
34,1,1,0,1,1
35,1,1,1,0,0
36,1,0,0,1,0
37,0,1,1,0,1
38,1,1,0,1,0
39,1,1,1,0,1
40,0,1,0,1,1
41,0,0,1,0,0
42,1,0,0,1,1
43,1,1,1,1,1
44,1,1,1,0,0
45,1,1,0,1,1
46,1,0,1,0,0
47,0,1,0,0,0
48,0,0,0,0,0
49,1,1,1,1,1
50,0,0,1,0,1
51,1,1,1,0,0
52,1,1,0,1,1
53,1,0,0,0,1
54,1,1,0,1,1
55,1,0,0,1,0
56,0,0,0,0,1
57,1,0,1,0,0
58,1,1,1,1,1
59,0,0,1,1,0
60,1,1,0,1,0
61,0,1,0,0,1
62,0,1,1,1,1
63,0,1,1,1,1
64,1,1,0,1,0
65,1,1,1,1,1
66,1,0,1,0,0
67,0,0,1,0,1
68,1,1,0,0,1
69,1,0,0,0,0
70,1,0,1,1,1
71,0,1,1,0,1
72,1,1,1,0,0
73,0,1,1,0,1
74,1,0,0,1,0
75,0,1,1,1,0
76,1,0,1,1,0
77,1,0,1,1,1
78,1,1,1,1,1
79,0,1,1,1,1
80,0,1,1,0,1
81,1,1,0,1,1
82,0,0,0,0,1
83,1,0,1,1,0
84,1,0,0,1,0
85,0,1,1,1,1
86,1,0,0,0,1
87,1,1,0,0,1
88,1,1,0,0,1
89,0,0,0,0,0
90,1,1,1,1,0
91,0,1,1,1,1
92,0,0,0,0,0
93,0,0,0,1,0
94,0,0,1,0,1
95,0,0,0,1,0
96,0,0,0,0,1
97,0,1,0,0,1
98,1,1,0,0,0
99,1,1,1,1,1
100,0,0,1,1,1
101,1,1,1,1,0
102,1,1,1,1,0
103,1,0,1,1,1
104,1,0,0,1,1
105,1,0,1,1,0
106,1,0,1,1,1
107,1,1,1,1,0
108,0,1,0,0,1
109,0,0,0,0,0
