,brain,group1,muscle,epithelial,digestive
0,0,0,1,1,1
1,1,1,0,1,1
2,0,1,1,0,1
3,1,1,0,1,1
4,0,0,1,1,0
5,1,1,1,1,1
6,1,0,1,1,0
7,1,1,0,1,1
8,1,0,0,0,0
9,0,0,0,0,0
10,0,1,0,1,1
11,1,1,0,0,1
12,1,1,0,0,1
13,0,0,0,0,1
14,1,1,1,0,0
15,0,0,1,0,1
16,1,0,0,1,0
17,1,1,0,1,1
18,0,1,1,0,1
19,0,1,1,1,1
20,1,0,1,0,1
21,0,0,0,0,0
22,1,0,1,1,1
23,0,0,0,0,0
24,1,1,0,0,1
25,1,1,1,0,1
26,1,0,0,1,1
27,1,1,0,1,0
28,0,1,0,1,0
29,1,0,1,0,0
30,1,1,1,1,0
31,1,0,1,1,1
32,0,1,0,1,0
33,1,0,1,0,1
34,1,0,1,1,0
35,0,1,0,1,0
36,1,0,1,0,1
37,1,1,1,0,0
38,1,0,0,1,0
39,0,0,0,0,0
40,1,0,1,1,1
41,1,0,1,1,1
42,0,1,0,0,0
43,0,1,0,0,0
44,0,0,1,1,0
45,0,1,0,0,0
46,0,0,1,0,1
47,0,1,1,0,0
48,0,0,1,1,0
49,1,1,1,1,1
50,0,1,0,0,1
51,1,1,1,0,1
52,0,0,1,0,0
53,0,1,0,0,0
54,0,0,0,1,1
55,1,1,0,1,1
56,1,0,0,0,1
57,0,0,0,1,1
58,0,1,1,1,1
59,0,1,1,1,1
60,1,1,1,1,0
61,1,1,0,1,1
62,0,0,1,1,0
63,1,1,0,1,1
64,1,0,0,1,1
65,1,1,0,1,1
66,0,0,1,0,0
67,1,1,1,1,1
68,0,1,0,0,0
69,1,1,0,1,1
70,0,1,0,0,1
71,1,0,0,0,1
72,0,0,1,1,0
73,1,0,1,1,1
74,1,0,0,0,1
75,1,0,0,0,0
76,1,0,0,1,1
77,1,0,1,0,1
78,1,1,0,1,1
79,1,1,0,1,1
80,0,1,0,0,0
81,1,1,1,1,1
82,0,1,0,0,0
83,0,1,1,1,1
84,0,1,0,1,0
85,1,1,1,1,1
86,1,0,1,0,1
87,1,0,0,0,0
88,0,1,0,1,1
89,1,1,1,1,1
90,1,0,0,1,0
91,1,1,1,1,1
92,0,1,0,1,0
93,1,0,0,0,1
94,0,1,1,1,0
95,0,1,1,1,0
96,0,1,1,1,1
97,1,0,0,0,1
98,1,1,1,1,0
99,0,1,0,1,0
100,1,1,0,1,1
101,0,0,0,0,0
102,0,1,0,1,1
103,1,1,1,1,1
104,1,1,1,1,1
105,0,0,1,0,1
106,0,1,1,0,1
107,1,1,0,1,1
108,1,1,1,1,1
109,0,1,0,1,1
110,1,1,1,0,1
111,1,1,1,0,1
112,1,1,1,1,1
113,0,1,1,1,1
