,brain,group1,muscle,epithelial,digestive
0,1,1,1,1,1
1,1,1,1,1,1
2,1,1,1,1,1
3,1,1,1,1,1
4,1,1,1,1,1
5,1,1,1,1,1
6,1,1,1,1,1
7,1,1,0,1,0
8,0,0,0,0,0
9,0,0,0,0,0
10,1,1,1,1,1
11,1,1,1,1,1
12,1,1,1,1,1
13,0,0,0,0,0
14,1,1,1,1,1
15,0,0,0,1,1
16,1,1,1,1,1
17,1,1,1,1,1
18,1,1,1,0,1
19,1,1,1,1,1
20,1,1,1,1,1
21,0,0,0,0,0
22,1,1,1,1,1
23,1,1,1,1,1
24,1,1,1,1,1
25,1,1,1,1,1
26,1,0,0,0,0
27,1,1,1,1,1
28,1,1,1,1,1
29,1,1,1,1,1
30,1,1,1,1,1
31,1,1,1,1,1
32,1,1,0,1,1
33,1,1,1,1,1
34,1,1,0,1,0
35,0,0,0,0,0
36,1,1,1,1,1
37,0,0,0,0,0
38,0,0,0,0,0
39,0,1,0,0,0
40,1,1,1,1,1
41,1,1,1,1,1
42,0,0,0,0,0
43,0,0,0,0,0
44,0,0,0,0,0
45,0,1,0,0,0
46,1,1,1,1,1
47,0,0,1,0,0
48,0,1,1,1,1
49,1,1,1,1,1
50,0,0,0,0,0
51,1,1,1,1,1
52,0,0,0,0,0
53,1,1,1,1,1
54,1,0,0,0,1
55,1,1,1,1,1
56,1,1,1,1,1
57,0,0,0,0,0
58,1,1,1,1,1
59,1,1,1,1,1
60,1,1,1,1,1
61,1,1,1,1,1
62,1,1,1,1,1
63,1,1,1,1,1
64,1,1,1,1,1
65,0,0,0,0,0
66,1,0,0,0,0
67,1,1,1,1,1
68,0,0,0,0,0
69,1,0,0,0,1
70,0,0,0,0,0
71,1,1,0,0,0
72,0,0,0,0,0
73,1,1,1,1,1
74,0,0,0,0,0
75,1,1,1,1,1
76,1,0,0,0,1
77,1,1,1,1,1
78,1,0,0,0,0
79,1,1,1,1,1
80,0,0,0,0,0
81,1,0,0,1,1
82,0,0,0,0,0
83,1,1,1,1,1
84,1,1,1,1,1
85,1,1,1,1,1
86,1,1,1,1,1
87,0,0,0,0,0
88,1,1,1,1,1
89,1,1,1,1,1
90,0,0,0,0,0
